team,name,sex,birthday,weight_lbs,skill_level,age_bracket
Summit Youth Wrestling,Hayden Torres,M,2021-12-14,42,4,Tots
Prairie Wolves Wrestling,Blake Torres,M,2021-08-11,40,2,Tots
Prairie Wolves Wrestling,Parker Kim,M,2017-03-20,69,1,Midget
Prairie Wolves Wrestling,Cameron Anderson,F,2020-07-22,47,1,Tots
Prairie Wolves Wrestling,Hayden Novak,F,2019-03-02,62,4,Bantams
Eastside Takedown Club,Drew Williams,F,2018-05-03,62,2,Bantams
River Valley Wrestling,Sam Nguyen,M,2019-02-27,62,2,Bantams
Northgate Grapplers,Drew Anderson,M,2013-10-06,100,4,Intermediate
Ironclad Wrestling Club,Emerson Diaz,M,2019-01-08,46,2,Bantams
Summit Youth Wrestling,Alex Bennett,F,2015-11-19,71,2,Junior
Eastside Takedown Club,Blake Brown,F,2015-11-27,82,4,Junior
Prairie Wolves Wrestling,Rowan Diaz,F,2013-01-04,95,1,Intermediate
Eastside Takedown Club,Avery Diaz,M,2016-07-19,65,4,Midget
Summit Youth Wrestling,Casey Johnson,F,2013-11-04,101,1,Intermediate
Eastside Takedown Club,Morgan Garcia,F,2019-10-25,65,4,Bantams
Prairie Wolves Wrestling,Taylor Williams,F,2014-12-22,88,3,Junior
Northgate Grapplers,Rowan Sullivan,F,2017-03-11,67,3,Midget
Prairie Wolves Wrestling,Reese Williams,F,2013-06-02,90,2,Intermediate
Eastside Takedown Club,Casey Nguyen,M,2014-05-06,85,1,Junior
Summit Youth Wrestling,Casey Novak,F,2019-05-10,50,1,Bantams
Summit Youth Wrestling,Finley Nguyen,M,2014-07-14,82,1,Junior
River Valley Wrestling,Rowan Bennett,F,2016-02-27,82,2,Midget
Ironclad Wrestling Club,Emerson Patel,F,2014-09-22,89,2,Junior
Ironclad Wrestling Club,Finley Novak,F,2013-08-09,86,1,Intermediate
River Valley Wrestling,Casey Nguyen,F,2015-12-21,83,3,Junior
Ironclad Wrestling Club,Hayden Patel,F,2016-12-28,65,3,Midget
Prairie Wolves Wrestling,Parker Garcia,M,2013-07-26,88,3,Intermediate
Eastside Takedown Club,Morgan Ramirez,M,2018-09-02,51,2,Bantams
Eastside Takedown Club,Parker Ramirez,M,2019-11-16,56,2,Bantams
Northgate Grapplers,Avery Kim,M,2019-11-22,65,3,Bantams
Summit Youth Wrestling,Avery Kim,M,2016-05-25,71,1,Midget
Eastside Takedown Club,Reese Fischer,F,2022-07-10,34,2,Tots
Ironclad Wrestling Club,Reese Kim,F,2014-03-01,77,3,Junior
Prairie Wolves Wrestling,Jordan Sullivan,F,2022-03-11,31,3,Tots
Summit Youth Wrestling,Alex Fischer,M,2017-02-23,62,4,Midget
